年月,總計,占全體企業放款餘額之比率,占民營企業放款餘額之比率,中小企業放款平均逾放比,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)銀行,澳盛銀行,中華開發工業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)銀行,台新國際商業銀行,大眾商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,樂天銀行
93年7月,"2,158,864",,,,"101,196","99,665","167,907","244,161","184,354","171,691","56,544","37,491","52,925","2,097","5,859","55,246","32,033",,"1,463",210,"260,270","27,447","36,588","68,447",,,"5,593","14,659","14,146","8,061","3,358","21,852",836.36,"15,081","19,640","23,353","10,770",,"30,987","10,293","16,749","35,592","41,543",
93年8月,"2,188,739",,,,"102,120","103,817","169,362","247,214","191,707","172,547","57,218","36,944","52,889","2,137","6,480","57,282","31,723",,"2,416",200,"257,366","28,672","33,709","69,076",,,"5,370","14,679","14,143","8,153","3,193","22,112",819.08,"15,040","20,390","24,097","11,206",,"32,233","10,750","17,616","35,559","41,642",
93年9月,"2,208,660",,,,"103,329","104,775","173,120","244,711","194,369","176,329","58,801","37,272","53,729","2,214","6,455","57,664","32,071",,"2,303",213.5,"260,109","29,388","30,989","70,157",,,"5,576","14,542","14,404","8,330","3,050","22,271",739.66,"15,570","21,860","26,611","11,819",,"32,480","11,767","17,873","34,977","41,956",
93年10月,"2,173,846",,,,"104,265","104,941","174,370","241,618","194,556","159,592","56,255","36,721","53,483","2,229","6,670","58,115","31,852",,"2,183",216.5,"253,824","29,960","31,739","70,330",,,"5,541","14,555","14,864","8,625","3,081","22,637",643.24,"15,801","22,345","25,606","12,359",,"14,581","10,789","18,445","35,702","42,991",
93年11月,"2,228,520",,,,"104,920","107,864","179,724","243,125","200,060","170,620","57,534","36,361","55,514","2,101","6,705","62,980","32,018",,"2,258",356.14,"253,795","31,108","33,205","72,744",,,"5,626","14,633","15,142","9,084","3,144","23,163",720.55,"15,860","23,450","26,419","13,074",,"15,911","11,045","19,014","37,137","45,742",
93年12月,"2,252,368",37.31%,40.16%,,"104,940","105,916","180,842","242,694","203,072","163,918","59,611","36,443","55,462","2,121","6,937","66,065","30,879",,"2,259",409.09,"253,702","33,240","33,729","74,779",,,"6,051","14,983","16,065","9,117","3,223","23,280","1,197","16,920","24,449","26,339","13,564",,"18,488","10,405","18,859","39,667","46,714",
94年12月,"2,534,824",39.33%,42.68%,,"117,998","130,565","214,106","258,246","223,840","158,752","60,091","58,655","61,680","2,501","13,527","85,231","35,602",,"2,807",708,"235,206","47,785","39,985","74,502",,,"8,125","22,659","23,285","11,502","5,619","27,723","5,280","29,946","31,915","49,506","19,267",,"33,838","10,980","23,674","58,646","56,782",
95年12月,"2,745,044",39.87%,43.18%,,"135,851","150,983","304,274","303,692","255,850","198,678","62,704","72,237","63,504","3,806","20,378","158,071","34,932",,"3,672","4,163","237,496","40,096","51,565","28,185",,,"11,260","22,490","27,287","19,529","8,236","30,925","8,907","33,374","77,041","72,533","29,530",,"20,283","11,438","21,510","68,463","62,150",
96年1月,"2,711,679",,,,"133,466","149,527","301,609","290,390","254,694","199,474","61,537","72,306","68,632","3,710","21,371","157,086","34,373",,"3,836","4,193","226,263","41,188","53,843","27,247",,,"13,172","21,970","28,148","21,350","8,878","30,845","9,389","33,600","75,428","76,634","30,969",,"19,362","11,501","20,284","63,192","62,715",
96年2月,"2,745,159",,,,"135,224","152,402","304,634","290,143","254,659","203,507","62,759","71,703","68,963","3,665","22,089","160,610","35,043",,"4,055","4,289","230,040","40,863","54,736","26,859",,,"13,242","21,927","27,615","21,525","9,130","31,946","9,516","34,574","74,748","81,282","31,906",,"22,811","11,465","20,072","65,023","64,049",
